Date,BTC-USD_bh,portfolio_comm_0.0,portfolio_comm_0.0001,portfolio_comm_0.0005
2018-10-10,48220.20392888853,81046.71403621491,80932.94695551915,80479.26950187396
2018-10-11,45809.09809407569,81046.71403621491,80932.94695551915,80479.26950187396
2018-10-12,45943.385089123876,81046.71403621491,80932.94695551915,80479.26950187396
2018-10-13,46026.93190755534,81046.71403621491,80932.94695551915,80479.26950187396
2018-10-14,46063.102874778524,81046.71403621491,80932.94695551915,80479.26950187396
2018-10-15,48300.82260437685,81046.71403621491,80932.94695551915,80479.26950187396
2018-10-16,48297.672794934966,81046.71403621491,80932.94695551915,80479.26950187396
2018-10-17,47919.2666299749,81046.71403621491,80932.94695551915,80479.26950187396
2018-10-18,47423.4093980732,81046.71403621491,80932.94695551915,80479.26950187396
2018-10-19,47340.670589782334,81046.71403621491,80932.94695551915,80479.26950187396
2018-10-20,47514.78962454915,81046.71403621491,80932.94695551915,80479.26950187396
2018-10-21,47464.707296896464,81046.71403621491,80932.94695551915,80479.26950187396
2018-10-22,47499.927243334685,81046.71403621491,80932.94695551915,80479.26950187396
2018-10-23,47416.30891958104,81046.71403621491,80932.94695551915,80479.26950187396
2018-10-24,47563.4811736855,81046.71403621491,80932.94695551915,80479.26950187396
2018-10-25,47420.3346692196,81046.71403621491,80932.94695551915,80479.26950187396
2018-10-26,47409.0582799123,81046.71403621491,80932.94695551915,80479.26950187396
2018-10-27,47450.28109814727,81046.71403621491,80932.94695551915,80479.26950187396
2018-10-28,47494.289048681036,81046.71403621491,80932.94695551915,80479.26950187396
2018-10-29,46368.43417573992,81046.71403621491,80932.94695551915,80479.26950187396
2018-10-30,46380.44349459952,81046.71403621491,80932.94695551915,80479.26950187396
2018-10-31,46258.45541496576,81046.71403621491,80932.94695551915,80479.26950187396
2018-11-01,46699.028307026405,81046.71403621491,80932.94695551915,80479.26950187396
2018-11-02,46777.08351671469,81046.71403621491,80932.94695551915,80479.26950187396
2018-11-03,46578.06632876588,81046.71403621491,80932.94695551915,80479.26950187396
2018-11-04,46686.94748284462,81046.71403621491,80932.94695551915,80479.26950187396
2018-11-05,47005.68245644807,81046.71403621491,80932.94695551915,80479.26950187396
2018-11-06,47308.45029160943,81046.71403621491,80932.94695551915,80479.26950187396
2018-11-07,47814.63289203347,81046.71403621491,80932.94695551915,80479.26950187396
2018-11-08,47255.0751438705,81046.71403621491,80932.94695551915,80479.26950187396
2018-11-09,46756.436354936115,81046.71403621491,80932.94695551915,80479.26950187396
2018-11-10,46929.23969177488,81046.71403621491,80932.94695551915,80479.26950187396
2018-11-11,46944.24865889981,81046.71403621491,80932.94695551915,80479.26950187396
2018-11-12,46651.362859263296,81046.71403621491,80932.94695551915,80479.26950187396
2018-11-13,46565.10956438743,81046.71403621491,80932.94695551915,80479.26950187396
2018-11-14,42017.03142365738,81046.71403621491,80932.94695551915,80479.26950187396
2018-11-15,41355.69299990783,81046.71403621491,80932.94695551915,80479.26950187396
2018-11-16,40824.98407397712,81046.71403621491,80932.94695551915,80479.26950187396
2018-11-17,40669.610159418975,81046.71403621491,80932.94695551915,80479.26950187396
2018-11-18,41176.37552821875,81046.71403621491,80932.94695551915,80479.26950187396
2018-11-19,35669.75781790927,81046.71403621491,80932.94695551915,80479.26950187396
2018-11-20,32597.238478758594,81046.71403621491,80932.94695551915,80479.26950187396
2018-11-21,33697.755440786335,81046.71403621491,80932.94695551915,80479.26950187396
2018-11-22,31968.04527259366,81046.71403621491,80932.94695551915,80479.26950187396
2018-11-23,31830.168710372196,81046.71403621491,80932.94695551915,80479.26950187396
2018-11-24,28415.48746643987,81046.71403621491,80932.94695551915,80479.26950187396
